vote_2020,age,gender,interest,state,household_income,hispanic,education,ideo5,vote_trump,vote_Biden,agegroup,race
Donald Trump,49,Female,Some of the time,WI,"$75,000 to $79,999",Not Hispanic,Associate Degree,Conservative,1,0,36 to 50,White
Donald Trump,46,Female,Some of the time,VA,"$175,000 to $199,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,36 to 50,White
Donald Trump,75,Female,Most of the time,TX,"$65,000 to $69,999",Not Hispanic,High school graduate,Conservative,1,0,66 to 80,White
Donald Trump,52,Female,Most of the time,WA,"Less than $14,999",Not Hispanic,High school graduate,Very Conservative,1,0,51 to 65,White
Joe Biden,21,Female,Some of the time,MA,"$80,000 to $84,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,21 to 35,White
Joe Biden,38,Female,Some of the time,TX,"Less than $14,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,36 to 50,"Black, or African American"
Donald Trump,69,Female,Some of the time,CA,"$40,000 to $44,999",Not Hispanic,"Completed some college, but no degree",Moderate,1,0,66 to 80,White
Donald Trump,59,Female,Most of the time,NC,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,51 to 65,White
Donald Trump,74,Female,Most of the time,MD,"$20,000 to $24,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Not Sure,1,0,66 to 80,White
Joe Biden,55,Female,Most of the time,FL,"$60,000 to $64,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,51 to 65,White
Donald Trump,62,Female,Hardly at all,WV,"$15,000 to $19,999",Not Hispanic,High school graduate,Conservative,1,0,51 to 65,White
Joe Biden,42,Female,Some of the time,OH,"$30,000 to $34,999",Not Hispanic,High school graduate,Moderate,0,1,36 to 50,White
Joe Biden,81,Female,Most of the time,NY,"$30,000 to $34,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,above 80,White
Joe Biden,22,Female,Some of the time,KY,"$40,000 to $44,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,21 to 35,White
Donald Trump,71,Male,Most of the time,IN,"$150,000 to $174,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,66 to 80,White
Joe Biden,41,Male,Most of the time,WA,"Less than $14,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,36 to 50,White
Donald Trump,71,Female,Some of the time,IA,"$40,000 to $44,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,66 to 80,White
Donald Trump,55,Female,Most of the time,SC,"$75,000 to $79,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,51 to 65,White
Joe Biden,68,Male,Most of the time,MN,"$85,000 to $89,999",Not Hispanic,Associate Degree,Moderate,0,1,66 to 80,White
Donald Trump,69,Female,Most of the time,GA,"$90,000 to $94,999",Not Hispanic,"Completed some college, but no degree",Moderate,1,0,66 to 80,White
Donald Trump,33,Female,Most of the time,PA,"$75,000 to $79,999",Not Hispanic,Masters degree,Very Conservative,1,0,21 to 35,White
Joe Biden,70,Female,Most of the time,NJ,"$60,000 to $64,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,66 to 80,White
Donald Trump,32,Female,Most of the time,VA,"$30,000 to $34,999",Not Hispanic,Associate Degree,Liberal,1,0,21 to 35,White
Donald Trump,77,Female,Most of the time,SC,"$100,000 to $124,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,66 to 80,White
Donald Trump,65,Female,Some of the time,TX,"$100,000 to $124,999",Not Hispanic,Associate Degree,Conservative,1,0,51 to 65,White
Joe Biden,22,Female,Most of the time,FL,"Less than $14,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,21 to 35,"Black, or African American"
Joe Biden,63,Female,Most of the time,AZ,"$65,000 to $69,999",Not Hispanic,Masters degree,Moderate,0,1,51 to 65,White
Joe Biden,79,Male,Most of the time,IL,"$45,000 to $49,999",Not Hispanic,Masters degree,Moderate,0,1,66 to 80,White
Donald Trump,70,Male,Some of the time,OH,"$75,000 to $79,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,66 to 80,White
Joe Biden,54,Female,Most of the time,OH,"$80,000 to $84,999",Not Hispanic,Masters degree,Moderate,0,1,51 to 65,White
Joe Biden,72,Male,Most of the time,CA,"$40,000 to $44,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,66 to 80,White
Donald Trump,40,Female,Hardly at all,FL,"$20,000 to $24,999",Not Hispanic,Completed some high school,Not Sure,1,0,36 to 50,White
Joe Biden,69,Female,Most of the time,NC,"$65,000 to $69,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,66 to 80,"Black, or African American"
Joe Biden,37,Male,Some of the time,TX,"$200,000 to $249,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,36 to 50,White
Joe Biden,36,Female,Most of the time,FL,"$150,000 to $174,999",Not Hispanic,Doctorate degree,Very Liberal,0,1,36 to 50,White
Joe Biden,40,Female,Some of the time,TX,"$95,000 to $99,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Liberal,0,1,36 to 50,White
Joe Biden,41,Female,Most of the time,NJ,"$80,000 to $84,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,36 to 50,White
Donald Trump,72,Female,Only now and then,OR,"Less than $14,999",Not Hispanic,"Completed some college, but no degree",Very Conservative,1,0,66 to 80,White
Donald Trump,55,Female,Most of the time,PA,"$25,000 to $29,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,51 to 65,White
Joe Biden,80,Female,Most of the time,PA,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,66 to 80,"Black, or African American"
Joe Biden,66,Female,Some of the time,NC,"$80,000 to $84,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,66 to 80,White
Donald Trump,40,Female,Most of the time,TX,"$35,000 to $39,999",Not Hispanic,High school graduate,Moderate,1,0,36 to 50,White
Donald Trump,31,Male,Some of the time,VA,"$75,000 to $79,999",Not Hispanic,Masters degree,Moderate,1,0,21 to 35,other asian or pacific islander
Donald Trump,69,Male,Most of the time,OH,"$95,000 to $99,999",Not Hispanic,Masters degree,Conservative,1,0,66 to 80,White
Joe Biden,31,Female,Some of the time,CA,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,21 to 35,Chinese
Joe Biden,51,Female,Most of the time,IL,"$85,000 to $89,999",Not Hispanic,Masters degree,Moderate,0,1,51 to 65,White
Donald Trump,78,Female,Most of the time,NC,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,66 to 80,White
Joe Biden,58,Female,Most of the time,MI,"$50,000 to $54,999",Not Hispanic,High school graduate,Liberal,0,1,51 to 65,White
Joe Biden,19,Female,Most of the time,CA,"$150,000 to $174,999",Not Hispanic,Masters degree,Very Liberal,0,1,20 or less,White
